Team,Opponent,Player,AVG_MP%,AVG_FG,AVG_FGA,AVG_FG%,AVG_3P%,AVG_TRB,AVG_AST,PTS,TRB,AST,3P
WAS,UTA,Tyus Jones,1944.2,3.8,8,0.46020000000000005,0.5034,1.8,12.4,10.5,2.5,10.5,1.5
WAS,UTA,Jordan Poole,1821.6,6,16.8,0.33540000000000003,0.3424,4,3.6,16.5,2.5,3.5,2.5
WAS,UTA,Kyle Kuzma,1989.6,9.4,19.8,0.48,0.2852,6.8,3,23.5,6.5,2.5,2.5
WAS,UTA,Deni Avdija,2184.8,8.4,15.4,0.5398,0.4232,10,3.2,14.5,6.5,3.5,1.5
WAS,UTA,Corey Kispert,1568.2,4.2,11,0.36920000000000003,0.38439999999999996,2.8,2,12.5,2.5,1.5,2.5
WAS,UTA,Marvin Bagley III,1553.6,5.2,10.8,0.48579999999999995,0.1,10.6,1.8,14.5,7.5,1.5,0.5
UTA,WAS,John Collins,1732,5.2,10.2,0.5032,0.2666,11.2,2.4,17.5,10.5,1.5,1.5
UTA,WAS,Collin Sexton,1670,6.8,13.2,0.4932,0.3884,2.6,6.4,23.5,2.5,5.5,1.5
UTA,WAS,Keyonte George,1971.6,5.6,13.6,0.39740000000000003,0.366,2.8,5.6,17.5,3.5,5.5,2.5
UTA,WAS,Taylor Hendricks,1235.8,2.8,5.8,0.5,0.3134,4.8,0.4,10.5,7.5,1.5,1.5
